Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Shogo Akiyama,CIN,88,183,0,16,12,2,0.076502732,0.218579234,0.049382716,0.268292682,0.203703703,0.281767955,0.253086419,0.243275693,,43.79441791,0.998285179,-12.0959281,0.091984004,-0.586264195
Canaan Smith-Njigba,PIT,18,44,0,4,5,1,0.113636363,0.363636363,0.108108108,0.227272727,0.135135135,0.25,0.243243243,0.227958427,,37.09196176,-1.554435021,-5.013572539,-2.363284364,-0.588807949
Taylor Motter,- - -,47,117,0,8,3,0,0.068376068,0.358974358,0.055555556,0.287878787,0.175925925,0.239316239,0.231481481,0.215087228,,28.71670271,0.45224084,-9.927034789,0.023824893,-0.603086551
Brock Holt,TEX,77,260,2,21,23,5,0.088461538,0.188461538,0.089361702,0.254054054,0.208510638,0.28076923,0.29787234,0.259087344,,59.69020285,-1.614406616,-14.44615961,-0.488168985,-0.604266661
David Hensley,HOU,46,128,2,19,8,1,0.1171875,0.3203125,0.097345133,0.257142857,0.17699115,0.2734375,0.274336283,0.251620574,,58.61641978,-0.784000474,-7.401561634,-3.068607002,-0.605566098
Nick Pratto,KCR,133,498,14,50,52,1,0.096385542,0.37751004,0.158620689,0.333333333,0.216091954,0.299798792,0.374712643,0.296530969,,84.34051613,-2.147672918,-11.26018923,-11.33588088,-0.617341473
Heliot Ramos,SFG,29,74,1,9,2,0,0.081081081,0.324324324,0.102941176,0.255813953,0.176470588,0.243243243,0.279411764,0.233994684,,46.70087408,0.114208391,-4.585179689,-3.896126121,-0.619696906
Matt Mervis,CHC,27,99,3,8,11,0,0.08080808,0.323232323,0.122222222,0.218181818,0.166666666,0.242424242,0.288888888,0.238486035,,46.16371358,-0.846163381,-7.458303644,-2.167187065,-0.623584257
Stephen Vogt,- - -,148,429,14,42,48,1,0.1002331,0.237762237,0.148148149,0.202247191,0.179894179,0.264018691,0.328042328,0.260463178,,64.60642254,0.284722746,-18.00991496,-2.094298869,-0.63040815
Vimael Machín,OAK,88,290,1,27,14,1,0.096551724,0.196551724,0.058823529,0.26,0.207843137,0.288194444,0.266666666,0.254440253,,66.50816981,-1.681899667,-12.98230008,-2.64606306,-0.639493114
Chance Sisco,- - -,28,83,0,5,4,0,0.084337349,0.253012048,0.040540541,0.207547169,0.148648648,0.240963855,0.189189189,0.205340643,,23.90975128,-0.458182844,-8.228921798,-1.013388216,-0.642231178
Brett Baty,NYM,108,390,9,39,34,2,0.079487179,0.271794871,0.108571429,0.27118644,0.208571428,0.277922077,0.317142857,0.265818381,,68.57466054,-1.540844649,-16.64396701,-3.065868989,-0.650971286
Magneuris Sierra,- - -,168,321,0,34,10,17,0.059190031,0.233644859,0.05,0.28,0.21,0.257053291,0.26,0.226066223,,38.04997787,4.062762835,-20.10056301,3.180794712,-0.651846291
John Nogowski,- - -,52,143,1,14,14,0,0.083916083,0.153846153,0.07751938,0.271028037,0.232558139,0.3006993,0.310077519,0.273145572,,67.21351984,-1.839111205,-7.807810547,-3.536423691,-0.655070151
Edwin Ríos,- - -,70,186,9,19,20,0,0.091397849,0.376344086,0.175757576,0.209302325,0.163636363,0.258064516,0.339393939,0.265467509,,69.11696446,-0.95891054,-8.402332802,-4.497975588,-0.657165064
Brayan Rocchio,CLE,19,70,0,7,5,0,0.042857142,0.314285714,0.060606061,0.355555555,0.242424242,0.271428571,0.303030303,0.252131578,,57.84275428,-1.715392176,-5.263978381,-3.751035213,-0.65956102
MJ Melendez,KCR,268,1098,32,115,111,8,0.109289617,0.266848816,0.164937759,0.285053929,0.225103734,0.310564663,0.390041493,0.306364553,,92.01552955,-1.542707974,-11.9949257,-30.83610508,-0.664643741
Jose Herrera,ARI,90,244,0,24,12,1,0.090163934,0.262295081,0.033018868,0.281879194,0.198113207,0.272340425,0.231132075,0.233603612,,43.77722512,-0.438985748,-16.79264186,1.708970189,-0.679124343
Jordan Diaz,OAK,97,317,10,23,27,0,0.056782334,0.227129337,0.13898305,0.275700934,0.233898305,0.283911671,0.372881355,0.286466827,,84.90241909,-3.111035233,-8.792630435,-8.684239849,-0.687742541
Justin Williams,STL,51,137,4,10,11,0,0.124087591,0.335766423,0.100840336,0.217391304,0.159663865,0.270072992,0.260504201,0.229048802,,42.44963201,-0.615153556,-10.6524683,-0.962414026,-0.702453275
Drew Ellis,- - -,47,129,3,16,10,0,0.131782945,0.317829457,0.111111111,0.21875,0.157407407,0.294573643,0.268518518,0.261112251,,61.08790479,-0.369556407,-6.673477166,-4.592462903,-0.703069157
Stevie Wilkerson,BAL,31,76,0,5,2,2,0.039473684,0.394736842,0.041666667,0.285714285,0.166666666,0.210526315,0.208333333,0.189914845,,12.75660568,0.55550725,-7.562476479,-2.060984105,-0.703883778
