Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
José Cisnero,DET,7,8,6,154,0,140.1,9.491688095,4.617577992,0.961995415,0.296195652,0.71351351,0.42819149,0.10714286,96.36486071,3.84798166,,4.227361026,4.503888247,0.66313549
Nick Anderson,- - -,4,1,2,41,0,41.1,8.056451861,2.395161364,1.088709711,0.258928571,0.73684211,0.37068966,0.09615385,94.15147823,3.266129133,,3.827427818,4.378239081,0.661248505
Chris Archer,- - -,3,9,0,31,30,122,7.745901882,4.13114767,1.106557412,0.263929619,0.67832168,0.4180791,0.10791367,93.00566497,4.573770635,,4.449428259,4.602896652,0.660005104
Nabil Crismatt,- - -,8,5,0,103,1,161.2,8.239175873,2.950515684,1.002061931,0.311158798,0.7185332,0.50524109,0.12244898,90.21776165,3.785567293,,3.957386016,4.009221478,0.659602955
Austin Voth,- - -,10,7,0,115,18,193.2,8.504303917,3.438898852,1.394148183,0.318345324,0.72764228,0.35233161,0.12396694,93.79333774,4.786575429,,4.534523614,4.500599523,0.653307997
Jake Woodford,STL,9,6,0,65,15,155.2,5.723769321,3.064240142,0.925053628,0.296066253,0.75892857,0.47887324,0.1038961,92.54692132,3.873662066,,4.491943295,4.797211729,0.646209108
Dallas Keuchel,- - -,12,19,0,53,50,253,5.584980427,3.628458621,1.351778702,0.327464789,0.62867844,0.53325817,0.16521739,88.44479251,6.225296654,,5.182796152,4.751589104,0.64528276
Wandy Peralta,- - -,12,10,13,175,1,161.1,7.865704541,3.793389424,0.836777079,0.256292906,0.77472527,0.56334842,0.12711864,95.82484781,2.956612345,,4.053938566,4.030730932,0.642482154
Alex Lange,DET,15,11,25,169,0,160,10.96875183,5.062500845,0.90000015,0.276041667,0.73050346,0.51262626,0.13793103,96.49820675,3.71250062,,3.975212136,3.850558429,0.639865611
Brennan Bernardino,- - -,2,2,0,52,6,48.2,9.98630424,3.6986312,0.73972624,0.340909091,0.76023392,0.5,0.10810811,92.32052086,3.51369964,,3.643160101,3.821704161,0.638868035
Max Kranick,PIT,2,3,0,11,9,43.2,7.41984776,4.534351409,0.824427529,0.340740741,0.68181818,0.32352941,0.06666667,94.42733457,5.56488582,,4.491682697,5.686135544,0.63853316
Phil Bickford,- - -,10,8,2,173,0,175.1,10.06083833,3.593156545,1.38593181,0.267734554,0.70960699,0.36865342,0.13300493,93.97425429,4.363118662,,4.265903694,4.133069401,0.636828452
Jose Alvarez,SFG,7,3,1,88,1,80,6.412501682,3.150000826,0.562500148,0.26,0.72043011,0.49799197,0.06666667,91.41641079,2.925000767,,3.671493659,4.456284814,0.624761101
Keegan Thompson,CHC,15,10,3,80,23,197,8.634518602,4.248731376,1.233502657,0.270676692,0.77665827,0.41485507,0.125,93.87476665,3.79187854,,4.61140163,4.559253804,0.624606084
Aaron Sanchez,- - -,4,5,0,24,17,95.1,6.325175099,2.832167955,0.944055985,0.327868852,0.67407407,0.52580645,0.10869565,91.69005161,5.286713516,,4.319095147,4.485351144,0.623041469
Davis Martin,CHW,3,6,0,14,9,63.1,6.821052974,2.700000136,1.136842162,0.287958115,0.66395664,0.36734694,0.10526316,94.06216926,4.83157919,,4.280852113,4.415190141,0.61454081
Corey Knebel,- - -,7,5,15,73,4,70.1,9.085309453,4.734597884,0.76777263,0.240223464,0.72864322,0.41530055,0.08955224,96.00990309,3.071090519,,3.887006664,4.268967924,0.605114991
Michael Grove,LAD,3,3,0,22,18,93.1,8.77500012,2.700000037,1.735714309,0.345323741,0.6427379,0.39455782,0.15517241,94.57460318,5.97857151,,4.767066045,4.236174063,0.601984556
Andre Jackson,- - -,1,4,4,23,5,76.1,8.017467683,3.419214159,1.296943302,0.265116279,0.71428571,0.37837838,0.12222222,94.42643988,4.480349588,,4.498171403,4.580043424,0.60033467
Carlos Martinez,STL,4,9,0,16,16,82.1,6.230769616,3.935222915,0.874493981,0.274900398,0.58510638,0.50196078,0.10810811,93.84505016,6.230769616,,4.761127338,5.083752427,0.599449337
